Day,Price,DEX ONE Reserve,DEX USDC Reserve,DEX TVL (USD),LP APY (fees+emissions),Save Utilization,Save Supply (USD),Save Borrow Balance (USD),Save APY (supply+emissions),Save Emissions USD/day,Depth to +1% (USDC),ONE idle (outside LP)
35,350547.70484341664,2.697042917980098,945442.2047621146,1851730.0703783194,27.375,0.5039563041529133,2805153.9723391444,1442165.7376542238,83.2135129711001,6000.0,5672.653228572687,73.42547158637092
36,365363.7141812052,2.6417925715307686,965215.1460307989,1890884.409524229,27.375,0.5090226358497891,2833205.512062536,1470950.3170930694,82.5444616911279,6000.0,5791.290876184793,73.42547158637092
37,380639.15352310706,2.58824087746497,985185.81671217,1930430.2920615976,27.375,0.5140419381392369,2861537.5671831616,1500031.8003927877,81.8831240460452,6000.0,5911.114900273021,73.42547158637092
38,396384.87369436905,2.536313216824542,1005356.194100355,1970371.63342434,27.375,0.5190146784796117,2890152.942854993,1529413.2508284138,81.22940540667001,6000.0,6032.137164602131,73.42547158637092
39,412611.95978464733,2.4859392728164633,1025728.2752624219,2010712.38820071,27.375,0.5239413191326886,2919054.472283543,1559097.7616584576,80.58321242555654,6000.0,6154.3696515745305,73.42547158637092
40,429331.73601834965,2.437052725101576,1046304.0772361095,2051456.5505248439,27.375,0.5288223172311342,2948245.0170063786,1589088.4564326303,79.94445301710472,6000.0,6277.824463416657,73.42547158637092
41,446555.77072448906,2.3895909697870468,1067085.6372295339,2092608.154472219,27.375,0.5336581248449324,2977727.4671764425,1619388.4893025353,79.31303633803142,6000.0,6402.513823377203,73.42547158637092
42,464251.1837783668,2.3436076745664374,1088022.6372295339,2134171.2744590677,27.375,0.5397961631008451,3000000.0,1649927.342538005,78.90044292839248,6000.0,6528.135823377203,73.42547158637092
43,482290.4207296326,2.29936069547441,1108959.6372295339,2176045.2744590677,27.375,0.5499757808460016,3000000.0,1680486.711079578,79.12508553022268,6000.0,6653.757823377203,73.42547158637092
44,500673.4815782867,2.256753510626786,1129896.6372295339,2217919.2744590677,27.375,0.560162237026526,3000000.0,1711066.992364396,79.35408006875888,6000.0,6779.379823377202,73.42547158637092
45,519400.366324329,2.215696622190904,1150833.6372295339,2259793.2744590677,27.375,0.5703556641214653,3000000.0,1741668.5848820042,79.58743806780761,6000.0,6905.001823377204,73.42547158637092
46,538471.0749677594,2.1761069288627857,1171770.6372295339,2301667.2744590677,27.375,0.580556194960668,3000000.0,1772291.8881956134,43.32517128402099,3000.0,7030.623823377204,73.42547158637092
47,557885.6075085781,2.1379071644381766,1192707.6372295339,2343541.2744590677,27.375,0.5907639627318712,3000000.0,1802937.3029634827,43.56729170816894,3000.0,7156.245823377204,73.42547158637092
48,577643.9639467851,2.1010253944960113,1213644.6372295339,2385415.2744590677,27.375,0.6009791009878276,3000000.0,1833605.2309604178,43.81381156643878,3000.0,7281.867823377203,73.42547158637092
49,597746.1442823801,2.065394564295688,1234581.6372295339,2427289.2744590677,27.375,0.6112017436534726,3000000.0,1864296.0750993914,44.064743321762165,3000.0,7407.489823377204,73.42547158637092
50,618192.1485153635,2.030952091909869,1255518.6372295339,2469163.2744590677,27.375,0.6214320250331304,3000000.0,1895010.2394532883,44.320099675169736,3000.0,7533.111823377203,73.42547158637092
51,638981.9766457349,1.997639501399001,1276455.6372295339,2511037.2744590677,27.375,0.6316700798177628,3000000.0,1925748.1292767744,44.57989356717382,3000.0,7658.733823377203,73.42547158637092
52,660115.6286734946,1.9654020915042574,1297392.6372295339,2552911.2744590677,27.375,0.6419160430922581,3000000.0,1956510.1510282976,44.84413817917924,3000.0,7784.355823377203,73.42547158637092
53,681593.1045986424,1.9341886359103282,1318329.6372295339,2594785.2744590677,27.375,0.6521700503427659,3000000.0,1987296.7123922175,45.112846934922736,3000.0,7909.977823377203,73.42547158637092
54,703414.4044211785,1.9039511116232852,1339266.6372295339,2636659.2744590677,27.375,0.6624322374640725,3000000.0,2018108.2223010706,45.38603350194106,3000.0,8035.5998233772025,73.42547158637092
55,725579.5281411028,1.8746444524341876,1360203.6372295339,2678533.2744590677,27.375,0.6727027407670235,3000000.0,2048945.0909579718,45.663711793068174,3000.0,8161.221823377202,73.42547158637092
56,748088.4757584152,1.8462263248064712,1381140.6372295339,2720407.2744590677,27.375,0.6829816969859905,3000000.0,2079807.7298591554,45.94589596796174,3000.0,8286.843823377203,73.42547158637092
57,770941.2472731159,1.81865692384316,1402077.6372295339,2762281.2744590677,27.375,0.6932692432863852,3000000.0,2110696.5518166586,46.23260043465926,3000.0,8412.465823377202,73.42547158637092
58,794137.8426852048,1.7918987872658463,1423014.6372295339,2804155.2744590677,27.375,0.7035655172722195,3000000.0,2141611.9709811485,46.52383985116415,3000.0,8538.087823377204,73.42547158637092
59,817678.2619946819,1.765916625577268,1443951.6372295339,2846029.2744590677,27.375,0.7138706569937162,3000000.0,2172554.4028648986,46.81962912706196,3000.0,8663.709823377203,73.42547158637092
60,841562.505201547,1.7406771667883487,1464888.6372295339,2887903.2744590677,27.375,0.7241848009549662,3000000.0,2203524.264364914,47.11998342516722,3000.0,8789.331823377204,73.42547158637092
